#,id,date,json
1,10248,1996-07-04,"{""id"": 10248, ""date"": ""1996-07-04""}"
2,10249,1996-07-05,"{""id"": 10249, ""date"": ""1996-07-05""}"
3,10250,1996-07-08,"{""id"": 10250, ""date"": ""1996-07-08""}"
4,10251,1996-07-08,"{""id"": 10251, ""date"": ""1996-07-08""}"
5,10252,1996-07-09,"{""id"": 10252, ""date"": ""1996-07-09""}"
6,10253,1996-07-10,"{""id"": 10253, ""date"": ""1996-07-10""}"
7,10254,1996-07-11,"{""id"": 10254, ""date"": ""1996-07-11""}"
8,10255,1996-07-12,"{""id"": 10255, ""date"": ""1996-07-12""}"
9,10256,1996-07-15,"{""id"": 10256, ""date"": ""1996-07-15""}"
10,10257,1996-07-16,"{""id"": 10257, ""date"": ""1996-07-16""}"
11,10258,1996-07-17,"{""id"": 10258, ""date"": ""1996-07-17""}"
12,10259,1996-07-18,"{""id"": 10259, ""date"": ""1996-07-18""}"
13,10260,1996-07-19,"{""id"": 10260, ""date"": ""1996-07-19""}"
14,10261,1996-07-19,"{""id"": 10261, ""date"": ""1996-07-19""}"
15,10262,1996-07-22,"{""id"": 10262, ""date"": ""1996-07-22""}"
16,10263,1996-07-23,"{""id"": 10263, ""date"": ""1996-07-23""}"
17,10264,1996-07-24,"{""id"": 10264, ""date"": ""1996-07-24""}"
18,10265,1996-07-25,"{""id"": 10265, ""date"": ""1996-07-25""}"
19,10266,1996-07-26,"{""id"": 10266, ""date"": ""1996-07-26""}"
20,10267,1996-07-29,"{""id"": 10267, ""date"": ""1996-07-29""}"
21,10268,1996-07-30,"{""id"": 10268, ""date"": ""1996-07-30""}"
22,10269,1996-07-31,"{""id"": 10269, ""date"": ""1996-07-31""}"
23,10270,1996-08-01,"{""id"": 10270, ""date"": ""1996-08-01""}"
24,10271,1996-08-01,"{""id"": 10271, ""date"": ""1996-08-01""}"
25,10272,1996-08-02,"{""id"": 10272, ""date"": ""1996-08-02""}"
26,10273,1996-08-05,"{""id"": 10273, ""date"": ""1996-08-05""}"
27,10274,1996-08-06,"{""id"": 10274, ""date"": ""1996-08-06""}"
28,10275,1996-08-07,"{""id"": 10275, ""date"": ""1996-08-07""}"
29,10276,1996-08-08,"{""id"": 10276, ""date"": ""1996-08-08""}"
30,10277,1996-08-09,"{""id"": 10277, ""date"": ""1996-08-09""}"
31,10278,1996-08-12,"{""id"": 10278, ""date"": ""1996-08-12""}"
32,10279,1996-08-13,"{""id"": 10279, ""date"": ""1996-08-13""}"
33,10280,1996-08-14,"{""id"": 10280, ""date"": ""1996-08-14""}"
34,10281,1996-08-14,"{""id"": 10281, ""date"": ""1996-08-14""}"
35,10282,1996-08-15,"{""id"": 10282, ""date"": ""1996-08-15""}"
36,10283,1996-08-16,"{""id"": 10283, ""date"": ""1996-08-16""}"
37,10284,1996-08-19,"{""id"": 10284, ""date"": ""1996-08-19""}"
38,10285,1996-08-20,"{""id"": 10285, ""date"": ""1996-08-20""}"
39,10286,1996-08-21,"{""id"": 10286, ""date"": ""1996-08-21""}"
40,10287,1996-08-22,"{""id"": 10287, ""date"": ""1996-08-22""}"
41,10288,1996-08-23,"{""id"": 10288, ""date"": ""1996-08-23""}"
42,10289,1996-08-26,"{""id"": 10289, ""date"": ""1996-08-26""}"
43,10290,1996-08-27,"{""id"": 10290, ""date"": ""1996-08-27""}"
44,10291,1996-08-27,"{""id"": 10291, ""date"": ""1996-08-27""}"
45,10292,1996-08-28,"{""id"": 10292, ""date"": ""1996-08-28""}"
46,10293,1996-08-29,"{""id"": 10293, ""date"": ""1996-08-29""}"
47,10294,1996-08-30,"{""id"": 10294, ""date"": ""1996-08-30""}"
48,10295,1996-09-02,"{""id"": 10295, ""date"": ""1996-09-02""}"
49,10296,1996-09-03,"{""id"": 10296, ""date"": ""1996-09-03""}"
50,10297,1996-09-04,"{""id"": 10297, ""date"": ""1996-09-04""}"
51,10298,1996-09-05,"{""id"": 10298, ""date"": ""1996-09-05""}"
52,10299,1996-09-06,"{""id"": 10299, ""date"": ""1996-09-06""}"
53,10300,1996-09-09,"{""id"": 10300, ""date"": ""1996-09-09""}"
54,10301,1996-09-09,"{""id"": 10301, ""date"": ""1996-09-09""}"
55,10302,1996-09-10,"{""id"": 10302, ""date"": ""1996-09-10""}"
56,10303,1996-09-11,"{""id"": 10303, ""date"": ""1996-09-11""}"
57,10304,1996-09-12,"{""id"": 10304, ""date"": ""1996-09-12""}"
58,10305,1996-09-13,"{""id"": 10305, ""date"": ""1996-09-13""}"
59,10306,1996-09-16,"{""id"": 10306, ""date"": ""1996-09-16""}"
60,10307,1996-09-17,"{""id"": 10307, ""date"": ""1996-09-17""}"
61,10308,1996-09-18,"{""id"": 10308, ""date"": ""1996-09-18""}"
62,10309,1996-09-19,"{""id"": 10309, ""date"": ""1996-09-19""}"
